,Team,Player,Mouse,DPI,X-Axis Sens,Y-Axis Sens,Targeting Sens,Scope Sens,Monitor,Resolution,Mousepad,Keyboard,Headset,Chair
,Gentle Mates,Merstach,Logitech G Pro X Superlight 2 Magenta,1600,3.3%,3.3%,48.0%,48.0%,Alienware AW2521H,1920x1080,Artisan Hayate Otsu Soft Black,SteelSeries Apex Pro TKL (2023),beyerdynamic DT 990 Pro,Razer Iskur V2
,Gentle Mates,Vanyak3kk,Logitech G Pro X Superlight 2 Black,800,7.1%,7.1%,30.0%,30.0%,ZOWIE XL2566K,1920x1080,Artisan Raiden FX XSoft,SteelSeries Apex Pro TKL (2023),HyperX Cloud II Wireless,Razer Iskur V2
,Gentle Mates,Swizzy,Logitech G Pro X Superlight 2 Black,1600,3.5%,3.5%,54.5%,54.6%,Alienware AW2523HF,1920x1080,4D Gaming Enigma,SteelSeries Apex Pro TKL (2023),Logitech G Pro X Headset,Razer Iskur V2
,Gentle Mates,Gotaga,Razer Viper Mini Signature Edition,400,16.0%,16.0%,30.0%,40.0%,TCL 24G645,1920x1080,Razer Gigantus V2,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 X,Razer Iskur V2
,Gentle Mates,pollofn,Razer Viper V3 Pro Black,800,6.4%,6.4%,30.0%,30.0%,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft Black,SteelSeries Apex Pro Mini Black,,Razer Iskur V2
,Gentle Mates,PodaSai,Razer Viper V3 Pro White,1600,2.5%,2.5%,50.0%,50.0%,ZOWIE XL2540K,1920x1080,Artisan FX Hien Soft Black,Razer Huntsman V3 Pro Mini Black,Razer BlackShark V2 Pro Black,Secretlab Titan EVO 2022
,BIG,vicotryona,Razer Viper Mini Signature Edition,800,5.5%,5.5%,30.0%,30.0%,ASUS ROG SWIFT PG259QN,1920x1080,Custom Mousepad,Wooting 60HE+,HyperX Cloud III,Herman Miller Embody
,Elite Esports,Eomzo,Razer Viper V3 Pro Black,800,6.6%,6.6%,42.0%,42.0%,ZOWIE XL2546X+,1920x1080,Artisan Ninja FX Zero Soft Black,SteelSeries Apex Pro TKL Gen 3 Black,Logitech G Pro X Headset League of Legends Edition,Herman Miller Aeron
,BK ROG Esports,Hris,Razer Viper V3 Pro Black,800,8.2%,8.2%,43.1%,40.7%,Alienware AW2723DF,1680x1050,Razer Gigantus V2,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro Black,
,w7m esports,Seeyun,Razer Viper V3 Pro Black,800,8.6%,8.6%,10.0%,15.0%,Alienware AW2523HF,,Razer Strider,Razer Huntsman Mini,Razer BlackShark V2 Pro Black,Secretlab x Team Liquid Gaming Chair
,w7m esports,kurtz,Razer Deathadder V3 Pro Black,1600,4.5%,4.5%,25%,25%,Alienware AW2518H,1920x1080,Razer Gigantus V2,Wooting 80HE Black,Razer BlackShark V2 Pro Black,
,w7m esports,Pulga,Finalmouse Ultralight 2,3200,14.0%,14.0%,100.0%,100.0%,Alienware AW2521HF,1920x1080,Artisan Hayate Otsu XSoft Black,Wooting 80HE Black,Logitech G935,Secretlab x Team Liquid Gaming Chair
,KPI Gaming,Clone,Logitech G Pro X Superlight Black,1600,4.7%,4.7%,45.0%,45.0%,ZOWIE XL2546K,1920x1080,Inked Gaming Custom Mousepad,Wooting 80HE Black,HyperX Cloud II Wireless,
,Fokus Clan,juu,Logitech G Pro X Superlight Black,800,8.0%,8.0%,28.0%,100.0%,ZOWIE XL2546K,1920x1080,Custom Mousepad,Wooting 80HE Black,Logitech G Pro Headset,
,CGN Esports,Jannis,Razer Viper Mini Signature Edition,800,6.6%,6.6%,60.0%,70.0%,Acer Predator XB252Q,1920x1080,Razer Strider,Wooting 60HE+,Razer BlackShark V2 Pro White,Razer Iskur V2 X
,ZETA DIVISION,Koyota,Logitech G Pro X Superlight 2 Black,800,6.0%,6.0%,25.0%,25.0%,AlienWare AW2518HF,,Inked Gaming Custom Mousepad,SteelSeries Apex Pro Mini Black,Sony INZONE H9,
,Wave Esports,Vadeal,Razer Viper Mini Signature Edition,800,8.0%,8.0%,72.0%,100.0%,ZOWIE XL2566K,1920x1080,Argonpads Topography Speed,Wooting 80HE Black,Logitech G Pro X Headset,
,JFT Esports,Pumpkin,Razer Viper V3 Pro Black,800,5.8%,5.8%,50.0%,50.0%,,1920x1080,ZOWIE G-SR-SE Gris,Wooting 80HE Black,Razer BlackShark V2 Pro Black,
,Giants,LOLiTO FDEZ,Razer Viper V2 Pro Black,800,9.2%,9.2%,65.0%,65.0%,ZOWIE XL2540,1920x1080,Razer Gigantus,Ducky One 2 Mini,beyerdynamic DT 990 Pro,
,X2 Twins,Jesse,Logitech G Pro X Superlight Black,400,12.0%,12.0%,50.0%,50.0%,ZOWIE XL2546,1920x1080,ZOWIE G-SR-SE Blue,SteelSeries Apex Pro TKL,beyerdynamic DT 990 Pro,Herman Miller Aeron
,X2 Twins,Jordan,Razer Viper Ultimate,800,5.7%,5.7%,60.0%,60.0%,ASUS ROG SWIFT PG259QN,1920x1080,ZOWIE G-SR-SE Blue,SteelSeries Apex Pro TKL,HyperX Cloud Alpha,
,NRG,Hamlinz,Logitech G Pro X Superlight Black,400,10.1%,10.2%,65.0%,69.9%,ZOWIE XL2546,1920x1080,Logitech G640 Original,SteelSeries Apex Pro TKL,HyperX Cloud II,
,100 Thieves,CouRage,Razer DeathAdder V2,800,9.0%,9.0%,37.0%,37.0%,Samsung CRG5,1920x1080,Corsair MM700 RGB,Corsair K65 RGB MINI 60%,Corsair Virtuoso Pro,
,Solary,Momsy,Razer Viper V3 Pro Black,1600,4.0%,4.0%,35.5%,35.5%,ASUS VG249QM1A,1920x1080,Razer Gigantus V2 XXL,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro Black,
,Solary,kombek,Razer Viper V3 Pro Black,1600,4.2%,4.2%,50.0%,50.0%,Omen X25F,1720x1080,Artisan Ninja FX Zero Mid,Wooting 60HE+,beyerdynamic DT 990 Pro,
,EvozA Esport,pixx,Logitech G Pro Wireless,800,6.9%,6.9%,27.4%,26.8%,ASUS TUF VG258QM,1920x1080,Xtrfy GP4,Wooting 60HE+,HyperX Cloud II,
,EvozA Esport,Demus,Logitech G Pro X Superlight 2 Black,800,7.3%,7.3%,44.0%,44.0%,,1720x1080,4D Gaming Enigma,SteelSeries Apex Pro Mini Black,HyperX Cloud II,
,Valiant,TruleX,Logitech G Pro X Superlight Black,800,12.3%,12.3%,39.8%,39.8%,AlienWare AW2518HF,1780x1080,Artisan Ninja FX Zero Soft Orange,SteelSeries Apex Pro TKL (2023),HyperX Cloud II,
,HERO Base,916Gon,Lamzu Maya Black,1600,4.0%,4.0%,50.0%,50.0%,ZOWIE XL2546,1920x1080,WALLHACK SP-004 Black,SteelSeries Apex Pro Mini Black,Razer BlackShark V2 Pro Black,Secretlab Titan EVO 2022
,LND Esports,QnDx,Razer Viper V3 Pro White,800,9.5%,9.5%,13.5%,13.5%,Alienware AW2523HF,1920x1080,Razer Gigantus V2,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro Black,
,FLC,Kirwa,Razer Viper V3 Pro Black,800,10.0%,10.0%,37.0%,28.0%,Alienware AW2523HF,1920x1080,Razer Gigantus V2,Wooting 60HE+,Razer BlackShark V2 Pro Black,
,FLC,Eclipse27,Razer Viper Mini Signature Edition,800,5.8%,5.8%,40.0%,50.0%,ZOWIE XL2546,1920x1080,Artisan Ninja FX Zero Soft Black,Wooting 60HE+,HyperX Cloud II Wireless,
,Fractious Esports,Lequy,Razer Viper V3 Pro White,800,6.6%,6.6%,36.0%,36.0%,HP OMEN 24.5″,1920x1080,Razer Strider,Wooting 60HE+,Razer BlackShark V2 Pro Black,IKEA Markus
,Fractious Esports,Gordete,Razer Viper V3 Pro Black,,,,,,AOC 24G2Z,1920x1080,,Wooting 60HE+,Razer BlackShark V2 Pro Black,
,Regal Esports,Predage,Razer Viper V3 Pro White,800,6.5%,6.5%,35.5%,44.3%,Samsung Odyssey G4,1920x1080,Razer Gigantus V2,Wooting 60HE+,Razer BlackShark V2 Pro Black,Logitech G x Herman Miller Embody
,Averiour Gaming,Nomzz,,,,,,,AOC C27G2ZE,1920x1080,,Wooting 60HE+,Logitech G435,Razer Iskur V2 X
,PRDGY,Bqrbie,,,,,,,Lenovo Legion Y25-30,1920x1080,,,,DXRacer Prince
,PWR,Worthy,ZOWIE U2,800,6.4%,6.4%,52.4%,52.4%,MSI NXG253R,1920x1080,Lethal Gaming Gear Saturn Pro,Glorious GMMK 2 65%,,
,PWR,alex,Razer Viper V3 Pro Black,800,7.0%,7.0%,33.0%,33.0%,ASUS ROG SWIFT PG258Q,1920x1080,Lethal Gaming Gear Saturn Pro Red,Razer Huntsman V3 Pro Mini Black,,
,PWR,Volx,ZOWIE U2-DW,800,4.5%,4.5%,28.2%,63.8%,ASUS ROG SWIFT PG258Q,1920x1080,ZOWIE G-SR-SE Blue,Wooting 60HE+,Sennheiser PC38X,Herman Miller Aeron
,Team Aight,Flickzy,Logitech G Pro X Superlight 2 Black,1600,3.3%,3.3%,29.4%,29.4%,ASUS ROG SWIFT PG258Q,1720x1080,,SteelSeries Apex Pro Mini Black,HyperX Cloud Alpha S,
,Team Aight,Hijoe,Razer Viper V3 Pro White,1600,3.5%,3.5%,0.4%,0.4%,ASUS TUF VG258QM,1920x1080,Razer Strider,Wooting 60HE+,Razer BlackShark V2 Pro White,Razer Iskur V2 X
,Paps Esport,Laizen,Logitech G Pro Wireless,800,8.3%,8.3%,59.0%,59.0%,ZOWIE XL2540K,1920x1080,Logitech G840,Wooting 80HE Black,Logitech G Pro X Headset,
,Limit,Doniee,Razer Viper V2 Pro Black,800,6.4%,6.4%,35.0%,35.0%,ZOWIE XL2546,1920x1080,,Wooting 80HE Black,,
,2AM Esports,Snacky,Logitech G Pro X Superlight Black,800,4.7%,4.7%,40.0%,39.9%,Alienware AW2720HF,1720x1080,Custom Mousepad,SteelSeries Apex Pro TKL,Logitech G Pro X Headset,
,Samsung Morning Stars,Piz,Logitech G Pro X Superlight 2 Black,800,7.0%,7.0%,35.0%,35.0%,Samsung Odyssey G6,1920x1080,Artisan Ninja FX Zero Soft Black,SteelSeries Apex Pro TKL (2023),Logitech G PRO X 2 Headset Black,Razer Iskur V2 X
,Atlantic,Sky,Razer Viper V3 Pro Black,800,5.5%,5.5%,47.0%,47.0%,Lenovo Legion Y25-30,1920x1080,,SteelSeries Apex Pro TKL,Razer BlackShark V2 Pro Black,
,Atlantic,Scroll,Razer Viper V3 Pro Black,800,6.0%,6.0%,55.0%,55.0%,Alienware AW2523HF,1920x1080,Artisan Ninja FX Zero XSoft Black,SteelSeries Apex Pro,Logitech G Pro X Wireless Headset,
,Team Havok,Rad3on,Razer Viper V3 Pro Black,1600,5.0%,5.0%,50.0%,50.0%,ZOWIE XL2540,1920x1080,ZOWIE G-SR-SE Bi,Wooting 60HE+,Logitech G Pro X Headset,
,Team Havok,Nxthan,,,,,,,Alienware AW2720HF,1920x1080,,,Corsair HS70 Pro,
,Team Havok,Snayzy,Logitech G Pro X Superlight 2 Black,800,6.8%,6.8%,48.0%,48.0%,ZOWIE XL2566K,1920x1080,VAXEE PA Black,Razer Huntsman V3 Pro Mini Black,Razer BlackShark V2 Pro Black,Logitech G x Herman Miller Embody
,Team Havok,Wox,Razer Viper V3 Pro Black,800,6.6%,6.4%,39.0%,39.0%,Acer Nitro XV252QF,1920x1080,Artisan Hayate Otsu Soft Black,Wooting 60HE+,Razer BlackShark V2 Pro Black,
,Team Havok,IDROP,FinalMouse Starlight Pro,1600,5.0%,5.0%,33.0%,33.0%,ASUS ROG SWIFT PG259QN,1920x1080,Artisan Ninja FX Zero XSoft Black,Wooting 60HE+,HyperX Cloud III,
,Team Havok,Pixie,Razer Viper V3 Pro Black,800,6.0%,6.0%,35.0%,35.0%,Acer Nitro XV252QF,1920x1080,Argonpads SWIFT,Wooting 80HE Black,Razer BlackShark V2 Pro Black,
,mYinsanity,noaggs,Razer Deathadder V3 Pro Black,1200,5.2%,5.2%,45.0%,45.0%,Alienware AW2518H,1920x1080,Argonpads SWIFT,Wooting 60HE+,Razer BlackShark V2 Pro Black,
,Melilla Titans,J4vix,Razer Viper 8KHz,800,6.2%,6.2%,23.1%,28.1%,ZOWIE XL2546K,1920x1080,ZOWIE GTF-X,Wooting 60HE+,Logitech G332,
,Witness The Journey,Vergo,Logitech G Pro X Superlight 2 Black,1600,4.1%,4.1%,55.0%,29.3%,Alienware AW2523HF,1920x1080,4D Gaming Enigma,Wooting 80HE Black,HyperX Cloud II Wireless,
,Al Qadsiah Esports,Kami,Razer Viper V3 Pro Black,800,15.5%,15.5%,54.0%,54.0%,LG UltraGear 27GR95QE-B,1780x1080,Artisan Ninja FX Zero Soft Black,SteelSeries Apex Pro Mini Black,Sennheiser HD 600,Herman Miller Embody
,Xen,cxltures,Xtrfy M42 Wireless,800,7.2%,7.2%,35.1%,35.1%,ASUS TUF VG279QM,1920x1080,,SteelSeries Apex Pro Mini Black,,
,Shinden,Fazer,Razer Viper V3 Pro Black,800,6.0%,6.0%,35.0%,40.1%,ZOWIE XL2566K,1920x1080,Inked Gaming Custom Mousepad,Razer Huntsman V3 Pro Mini Black,HyperX Cloud Flight S,
,Vanish,DeATH,Logitech G Pro X Superlight 2 Black,800,6.4%,6.4%,45.0%,45.0%,ZOWIE XL2546K,1920x1080,Inked Gaming Custom Mousepad,Wooting 60HE+,HyperX Cloud II,
,Vanish,cyrzr,Logitech G Pro X Superlight Magenta,400,8.0%,8.0%,35.1%,35.1%,,1920x1080,4D Gaming Enigma,Wooting 80HE Black,Logitech G Pro X Headset,
,Al Ula,Hero,Logitech G Pro X Superlight 2 Black,800,9.0%,9.0%,100.0%,100.0%,ZOWIE XL2546,1920x1080,Gamesense Radar,Logitech G Pro X TKL Keyboard Black,,
,Al Ula,Adapter,Razer Viper V2 Pro Black,800,9.0%,8.0%,28.4%,30.4%,ZOWIE XL2546,1920x1080,Lethal Gaming Gear Saturn Pro,SteelSeries Apex Pro,HyperX Cloud II,
,Al Ula,FKS,Logitech G Pro Wireless,800,6.0%,6.0%,24.0%,24.0%,ASUS ROG PG27AQDM,1920x1080,Lethal Gaming Gear Saturn Pro,SteelSeries Apex Pro Mini Black,,
,Al Ula,Mansour,,,,,,,,1920x1080,,,HyperX Cloud III,
,Free Agent,Emad,Logitech G Pro Wireless,800,6.5%,6.5%,50.0%,50.0%,Alienware AW2518H,1920x1080,Logitech G640 TSM Edition,Logitech G Pro X Keyboard,Logitech G Pro X Headset,Herman Miller Embody
,Free Agent,innocents,,,,,,,Alienware AW2518H,1920x1080,,,ASTRO A40,
,Free Agent,Chapix,Logitech G Pro X Superlight Black,1600,3.7%,3.2%,80.0%,100.0%,Acer Predator XB272,1920x1080,Logitech G840,Corsair K65 TKL,HyperX Cloud Flight,
,Free Agent,MackWood,Logitech G Pro X Superlight Black,800,8.5%,8.5%,30.0%,35.0%,ZOWIE XL2540,1920x1080,Logitech G640 Original,SteelSeries Apex Pro TKL,Logitech G Pro X Headset,
,Free Agent,nosh,Razer Viper Ultimate,800,5.8%,5.8%,50%,50%,Alienware AW2518H,1920x1080,SteelSeries QcK+,SteelSeries Apex Pro TKL,Logitech G Pro Headset,
,Free Agent,Commandment,Finalmouse Ultralight 2,800,7.0%,7.0%,100.0%,100.0%,ASUS ROG SWIFT PG258Q,1920x1080,Logitech G640 TSM Edition,SteelSeries Apex Pro TKL,beyerdynamic DT 990 Pro,
,Free Agent,Stompy,Logitech G Pro X Superlight Black,800,5.8%,5.8%,50.0%,50.0%,Alienware AW2518H,1920x1080,Razer Gigantus V2,Razer Huntsman Mini,Razer BlackShark V2,
,Free Agent,LuLuzito,Razer Viper Ultimate,400,12.0%,12.0%,33.0%,33.0%,AOC AG251FZ2E,1920x1080,Artisan FX Hien Soft Black,SteelSeries Apex Pro TKL,beyerdynamic DT 990 Pro,
,Free Agent,letw1k3,Logitech G Pro X Superlight Black,800,4.5%,4.5%,43.1%,43.1%,ZOWIE XL2546,1720x1080,ZOWIE G-SR-SE Deep Blue,SteelSeries Apex Pro TKL,HyperX Cloud II,
,Free Agent,blackoutz,Logitech G Pro X Superlight 2 White,4800,1.0%,1.0%,40.0%,40.0%,ASUS PG248QP,1728x1080,Artisan Shidenkai V2 Mid Snow White,Wooting 60HE+,SteelSeries Arctis Nova Pro Wireless,Herman Miller Embody
,Free Agent,Lixium,Razer Viper V3 Pro Black,1600,4.4%,4.4%,20.0%,20.0%,ZOWIE XL2546K,,,Razer Blackwidow V4 Pro,Razer BlackShark V2 Pro Black,
,Free Agent,Skvii,Razer Viper V3 Pro Black,1200,3.3%,3.3%,29.5%,35.5%,Alienware AW2521H,1720x1080,Razer Gigantus V2,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro Black,
,Free Agent,Mesportt,Razer Viper V3 Pro Black,800,6.4%,6.4%,30.0%,30.0%,,1920x1080,Inked Gaming Custom Mousepad,Razer Huntsman V3 Pro Mini Black,Razer BlackShark V2 Pro Black,
,Free Agent,vaxsr,Razer Viper V3 Pro Black,800,6.4%,6.4%,48.7%,48.3%,,1920x1080,Artisan Ninja FX Zero Soft Orange,Razer Huntsman V3 Pro Mini Black,Razer BlackShark V2 Pro Black,
,Free Agent,Chimperatie,Razer Viper V3 Pro White,800,7.2%,7.2%,42.0%,42.0%,Alienware AW2523HF,1920x1080,Razer Strider,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro White,
,Free Agent,spitflow,Razer DeathAdder V3 HyperSpeed,800,10.0%,10.0%,70.0%,90.0%,ZOWIE XL2546,1720x1080,Zowie G-SR II,Razer Huntsman V3 Pro TKL Black,Logitech G PRO X 2 Headset Black,
,Free Agent,Rabid,Razer Viper V3 Pro White,800,6.4%,6.4%,27.2%,27.2%,Alienware AW2518H,1920x1080,Razer Strider,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro White,
,Free Agent,Jeyy,Logitech G Pro X Superlight Black,1600,4.5%,4.5%,31.0%,31.0%,AOC AG251FZ2E,1920x1080,,SteelSeries Apex Pro TKL,HyperX Cloud II,
,Free Agent,Dukez,Razer Viper V3 Pro Black,1600,3.5%,3.5%,34.0%,34.0%,Alienware AW2521HF,1920x1080,ZOWIE G-SR-SE Gris,Wooting 60HE+,HyperX Cloud II Wireless,
,Free Agent,Ryux,SteelSeries Rival 310,400,9.0%,9.0%,45.8%,53.2%,ZOWIE XL2546,1920x1080,SteelSeries QcK Large,SteelSeries Apex Pro TKL,HyperX Cloud Alpha,
,Free Agent,Ricbor,Razer Viper V3 Pro Black,800,6.4%,6.4%,40.0%,40.0%,,1920x1080,,Wooting 80HE Black,Logitech G Pro X Headset,
,Free Agent,Rehx,Finalmouse Ultralight 2,800,7.0%,7.0%,60.0%,60.0%,,1920x1080,ZOWIE G-SR-SE Blue,Wooting 60HE+,Sennheiser GAME ONE,
,Free Agent,Deyy,Razer Viper V3 Pro Black,800,9.0%,9.0%,25.5%,26.4%,Alienware AW2518H,1920x1080,Razer Gigantus V2,Wooting 60HE+,Razer BlackShark V2 Pro Black,
,Free Agent,Jarko,Razer Viper V3 Pro White,800,5.0%,5.0%,36.0%,36.0%,Alienware AW2518H,1920x1080,Razer Strider,Wooting 60HE+,Razer BlackShark V2 Pro Black,
,Free Agent,H1ghsky1,SteelSeries Aerox 3 Wireless Black,800,8.4%,8.4%,86.1%,85.4%,Acer GN246HL,1920x1080,SteelSeries QcK+,SteelSeries Apex Pro Mini Black,SteelSeries Arctis 1,
,Free Agent,AstroSMZ,Logitech G Pro Wireless,800,6.5%,6.5%,100.0%,100.0%,,1920x1080,Razer Gigantus V2 XXL,Wooting 60HE+,Corsair HS65,
,Free Agent,Adn,Logitech G Pro X Superlight Black,800,4.8%,4.8%,100.0%,100.0%,Alienware AW2521HF,1920x1080,Artisan Ninja FX Zero Soft Black,SteelSeries Apex Pro TKL,HyperX Cloud III,
,Free Agent,Jelty,Logitech G Pro X Superlight Black,800,8.0%,8.0%,50.0%,50.0%,GIGABYTE AORUS KD25F,1920x1080,The Mousepad Company Strata Liquid 07,SteelSeries Apex Pro TKL,Logitech G Pro X Headset,Logitech G x Herman Miller Embody
,Free Agent,edsonmalado,Razer Viper V3 Pro White,800,8.5%,8.5%,50.0%,25.0%,ZOWIE XL2546K,1920x1080,Razer Gigantus V2,Razer Huntsman V3 Pro Mini Black,Razer BlackShark V2 Pro Black,Secretlab Titan EVO 2022
,Free Agent,Wolfiez,,,,,,,Omen X25F,1920x1080,,,HyperX Cloud Alpha,noblechairs HERO
,Free Agent,Volko,Razer Viper V3 Pro White,800,7.7%,7.7%,30.0%,30.0%,Alienware AW2521HF,1920x1080,Razer Strider,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro Black,
,Free Agent,Chap,Razer Deathadder V3 Pro Black,1600,6.0%,6.0%,25.0%,25.0%,Alienware AW2518H,1920x1080,4D Gaming TESSERACT,SteelSeries Apex Pro TKL (2023),Sennheiser HD800 S,
,Free Agent,Wheat,WLMouse BEAST X Silver,1600,5.5%,5.5%,50.0%,50.0%,,1920x1080,Argonpads SWIFT,Wooting 60HE+,EPOS H3,
